Price,Close,High,Low,Open,Volume
Ticker,EBAY,EBAY,EBAY,EBAY,EBAY
Date,,,,,
1998-09-24,0.741981565952301,0.8496567169191659,0.6930377589853627,0.8379097241495531,518656090
1998-09-25,0.702826201915741,0.7224039391436604,0.6440949066223205,0.7126154963942203,121255834
1998-09-28,0.7556854486465454,0.7967976129161612,0.7204462757925097,0.7439393593492499,89772883
1998-09-29,0.7654738426208496,0.7870092269954,0.7478547085835067,0.7733045866040247,39289536
1998-09-30,0.7057627439498901,0.7517700054535777,0.6773763720378672,0.739044215535314,44113766
1998-10-01,0.6264748573303223,0.6773763663510428,0.6264748573303223,0.6675870720485212,44433101
1998-10-02,0.6264748573303223,0.6538832843854628,0.5481658262165489,0.6343056007425076,46816704
1998-10-05,0.5618696212768555,0.6127711309677156,0.5462081874793594,0.6127711309677156,33832339
1998-10-06,0.5716579556465149,0.5990663804207191,0.5011796738101482,0.5990663804207191,40270349
1998-10-07,0.4835607707500458,0.5579544856948093,0.4835607707500458,0.5481660393160538,35058355
1998-10-08,0.4541945457458496,0.45810994483739537,0.39546233501195066,0.4365745311873886,57172262
1998-10-09,0.48160287737846375,0.5050950540782541,0.4620251939886046,0.48160287737846375,38519712
1998-10-12,0.4933491051197052,0.5011798506431631,0.4933491051197052,0.5011798506431631,28198368
1998-10-13,0.460067480802536,0.4972643488143409,0.45810983495938046,0.4943278002000151,15430694
1998-10-14,0.4718136489391327,0.5031374782762226,0.45615221336822426,0.45615221336822426,30935520
1998-10-15,0.5109691619873047,0.5129268617316189,0.47181372980786446,0.47181372980786446,29144966
1998-10-16,0.5638271570205688,0.5716578450328086,0.5168419110530957,0.5227149536788002,43343942
1998-10-19,0.710658073425293,0.7204464660131281,0.5794898438461209,0.5814474904238389,78151392
1998-10-20,0.7282770872116089,0.8124600278066378,0.7087002521579218,0.7674316090481437,109292198
1998-10-21,0.7919033169746399,0.8065868050702463,0.7400230147054462,0.7674314401233185,65703053
1998-10-22,0.8075657486915588,0.8379098212496987,0.7713468748578278,0.8105022976002823,53323142
1998-10-23,0.7850515246391296,0.8183329982425133,0.7752631346230181,0.8085446082264017,32309798
1998-10-26,1.149190068244934,1.151147767598052,0.920135091750739,0.9397128305448872,389981434
1998-10-27,1.2921040058135986,1.4222933196852803,1.2568648946994283,1.276442521709209,571032634
1998-10-28,1.2529497146606445,1.327343347451793,1.1981328605503632,1.2216259957490072,254555136
1998-10-29,1.2509920597076416,1.2989562231854201,1.2490344669432787,1.2725274965060054,81150854
1998-10-30,1.3018935918807983,1.3214703707741058,1.2539285778484832,1.2666535160689718,94944960
1998-11-02,1.3155975341796875,1.3743297988996794,1.3116822415040919,1.360625156640517,123707866
1998-11-03,1.3155975341796875,1.3390906742932147,1.299935192349652,1.331259024280521,45978451
1998-11-04,1.2950409650802612,1.343005879019373,1.2793794760050519,1.3390905866001783,44632685
1998-11-05,1.2715486288070679,1.3116819947920997,1.2333720038295168,1.268612080003089,66085114
1998-11-06,1.3155975341796875,1.3224494826777429,1.2568653759258457,1.2588230754967187,48966509
1998-11-09,1.613173007965088,1.613173007965088,1.3234281812698885,1.3253858806171068,202355366
1998-11-10,2.0497474670410156,2.192662716998859,1.7404258519562317,1.7648978396804533,577698739
1998-11-11,1.8157981634140015,2.118268013560721,1.787410886175906,1.9929737740525462,306874656
1998-11-12,1.9733964204788208,2.0810716068397004,1.761961553601487,1.7834960372496482,223699450
1998-11-13,1.9410938024520874,2.0820502986970064,1.8755095902487873,2.036043933628721,135688608
1998-11-16,1.9988468885421753,2.036043816469733,1.913685259968865,2.0282130187580063,82411085
1998-11-17,2.0145082473754883,2.083028783967258,1.9420723123876917,1.9968891675256275,81555725
1998-11-18,2.3101260662078857,2.325788298023512,1.9636075714945949,2.0438743003775603,201192077
1998-11-19,2.2513935565948486,2.429547776601339,2.221048584804115,2.3649426481464157,135973728
1998-11-20,2.302295684814453,2.3492808982072457,2.1985359088979948,2.3492808982072457,67214189
1998-11-23,3.0227417945861816,3.0618962063288246,2.375710253743398,2.396266735126213,162518400
1998-11-24,3.0824527740478516,3.6668360374631894,2.787813911688122,2.960094222496675,342451930
1998-11-25,3.202852725982666,3.35555624376988,3.0618960421257357,3.1480367228284494,195546701
1998-11-27,3.4142885208129883,3.447570046053188,3.242008009936587,3.304654810282837,66632544
1998-11-30,3.0951778888702393,3.5239217213714267,2.9444320546022844,3.5151120741055553,135768442
1998-12-01,3.2459235191345215,3.273331095973518,2.8504612399557314,2.929749125026799,147874637
1998-12-02,3.1793603897094727,3.351640677841194,3.1010505096771954,3.226345593759195,72072634
1998-12-03,2.928769826889038,3.261584613820194,2.8974460045790553,3.10496550227028,76469184
1998-12-04,2.8582923412323,3.1005615908484887,2.5098152332957473,3.0540656959217274,138288902
1998-12-07,2.7290823459625244,2.866123677394716,2.6155331997425555,2.866123677394716,115382362
1998-12-08,2.770193338394165,2.8504609156980547,2.6077013364686845,2.631194363825522,120868070
1998-12-09,2.811795473098755,3.046234979337026,2.705588684028281,2.781940876751645,119431066
1998-12-10,2.9150664806365967,2.9855447162682283,2.8210950029524824,2.8817849555482717,114025190
1998-12-11,3.0070793628692627,3.026656994698638,2.8514401389376864,2.8543766878925707,60257261
1998-12-14,2.952263116836548,3.0227415636256634,2.905277059779296,2.9111501572122616,46685549
1998-12-15,3.0384035110473633,3.0442766095767,2.9640098650142916,3.0149113298623087,40424314
1998-12-16,3.5004281997680664,3.5395836750420053,3.1323743551681007,3.134332054405505,123251674
1998-12-17,3.732419013977051,3.813665431216936,3.375133230949076,3.4142878460589454,106326950
1998-12-18,3.9507062435150146,4.107325120537634,3.837158015477858,3.915467241056962,83830982
1998-12-21,4.641787528991699,4.7063928816894665,4.0251011941558605,4.048594010967364,132164525
1998-12-22,4.7142229080200195,4.871820439645684,4.420562532949726,4.794490267425359,105979104
1998-12-23,4.667239189147949,4.874758748030672,4.59676072786761,4.82581583349486,42699571
1998-12-24,4.479295253753662,4.653533457672819,4.416647603893137,4.541942903614188,26213933
1998-12-28,4.473423957824707,4.7298877579461465,4.3226780827995315,4.502790308379861,60770477
1998-12-29,4.290374279022217,4.557605146252504,4.228705682871315,4.557605146252504,33729696
1998-12-30,3.960496425628662,4.226748246809493,3.5924425252037544,4.21891744867213,99484070
1998-12-31,3.778427839279175,4.04174290000548,3.7745124401840364,3.8175822560951533,37441958
1999-01-04,3.7588486671447754,3.9311291476571237,3.633553385077208,3.7020741226835336,44689709
1999-01-05,3.5082590579986572,3.6413849184023945,3.4416962342628965,3.571885546472163,75265978
1999-01-06,4.432311058044434,4.463635103040271,3.6492171728467615,3.6648787694800773,108921542
1999-01-07,4.667239189147949,4.9334910120299185,4.230664524637977,4.261987291522959,118450253
1999-01-08,4.579140663146973,5.027462384786526,4.495937366237569,4.933491101377548,89453549
1999-01-11,4.565436363220215,4.776871286646274,4.354000588065104,4.762188329511938,43982611
1999-01-12,3.766679525375366,4.581096743070821,3.7588487298147504,4.3853234471397995,63262426
1999-01-13,3.375133752822876,3.696201518608981,3.3261899972702107,3.3986259293110206,77586854
1999-01-14,3.528815507888794,3.7862576443337588,3.431907691344825,3.516090675668374,70641331
1999-01-15,3.4984703063964844,3.790172569202913,3.4769358302229554,3.563075438374987,44786650
1999-01-19,3.6002731323242188,3.9154687027342536,3.343810674151207,3.876314288260236,36757670
1999-01-20,3.3477253913879395,3.6120196749422484,3.2889933520350105,3.5963572299621194,52302413
1999-01-21,2.8465449810028076,3.163698223777551,2.8220739531425387,3.0853891885801006,90029491
1999-01-22,3.0814731121063232,3.4456116958863436,2.5998704690424246,2.5998704690424246,125966016
1999-01-25,3.4064579010009766,3.411352149261665,2.866122885204228,3.132374462163373,108978566
1999-01-26,3.459315538406372,3.676624164826213,3.3359781638584125,3.429949415730294,84680640
1999-01-27,4.753377914428711,4.917827626054203,4.44797173298874,4.776871156239724,251110886
1999-01-28,4.58305549621582,4.790575884953247,4.479295727711658,4.761209968981349,66746592
1999-01-29,4.348127841949463,4.645703258879397,4.260029240291237,4.479295830082784,91791533
1999-02-01,4.1034111976623535,4.385324596223062,4.0955795483207105,4.369663000998034,66256186
1999-02-02,3.982029914855957,4.074043448888064,3.8371576689777727,4.074043448888064,49086259
1999-02-03,4.357916355133057,4.385324572493108,3.868483415572644,3.8998061799886408,53545536
1999-02-04,3.74318790435791,4.354000729638273,3.7118642898437875,4.291353074745487,217672013
1999-02-05,3.4651896953582764,3.868483675848986,3.445612913048058,3.8449904298287882,105733901
1999-02-08,3.6178929805755615,3.8273702092779818,3.494555371439502,3.602230534694256,80677555
1999-02-09,3.3340210914611816,3.633554193692613,3.28899358185344,3.6178930252116923,48128256
1999-02-10,3.320317268371582,3.3888380227116763,3.007079412569851,3.2870359538016163,71650656
1999-02-11,3.751018762588501,3.76668035716827,3.3359788406627824,3.4338655102445252,75174739
1999-02-12,3.696201801300049,3.8802293652817093,3.5758018057863894,3.6942441020319547,69090278
1999-02-16,3.6198511123657227,3.8528211859976667,3.5748231720687738,3.778427753156516,36124704
1999-02-17,3.649216651916504,3.8528207860016837,3.5983151925306673,3.7353562728324063,66951878
1999-02-18,3.682497978210449,3.7314408867314355,3.4847669413620723,3.670752208237446,43047418
1999-02-19,3.751018762588501,3.7823423776125855,3.629638849408011,3.70794895162959,36124704
1999-02-22,4.365748405456543,4.463635522946279,3.7823432293679975,3.833243849079232,100812730
1999-02-23,4.426435947418213,4.643744802395303,4.3540002302451715,4.446013789807752,115599053
1999-02-24,4.479295253753662,4.737716223864634,4.463634086551416,4.54781600101422,94386125
1999-02-25,4.690731048583984,4.696604146021308,4.404901862926799,4.549773729036658,73549555
1999-02-26,5.231065273284912,5.264346583936953,4.692688650349805,4.816025397432222,197000813
1999-03-01,5.058785438537598,5.548219222565151,4.796449039320155,5.117516845306779,280586592
1999-03-02,5.5002546310424805,5.685260858682479,5.133179789753991,5.1977851526081045,186358234
1999-03-03,5.802722454071045,5.873200890306591,5.52080956085775,5.788039925619473,102354278
1999-03-04,6.146305561065674,6.160988090371769,5.802722791789484,6.055270642797918,104631437
1999-03-05,7.012603759765625,7.097765596785127,6.34305909233937,6.5251281105981125,158532422
1999-03-08,8.034540176391602,8.034540176391602,7.153559400786262,7.2534041839542525,165966451
1999-03-09,7.811359405517578,8.334074938039093,7.582304743884532,8.22835746741839,127629216
1999-03-10,7.285707950592041,7.9288239110365435,7.141814703271729,7.870092077648145,92867386
1999-03-11,7.0478434562683105,7.558812367689808,6.81291527008194,7.23578643108197,66729485
1999-03-12,6.671959400177002,7.000858891201283,6.5192558521262844,6.771803782057508,58109357
1999-03-15,7.367932319641113,7.409044428712534,6.689576983723912,6.836407830664718,65955859
1999-03-16,7.414917945861816,7.773183287184571,7.294517528753828,7.547064558161771,44619379
1999-03-17,7.318009376525879,7.4589662635649905,7.097764613158693,7.259277553191826,32068397
1999-03-18,7.552938461303711,7.705641561662674,7.153560139139021,7.318010287009506,36637920
1999-03-19,7.505954742431641,7.740882976694151,7.353250751364033,7.708580291249975,31741459
1999-03-22,7.2886457443237305,7.6116717254137525,7.235787427483664,7.447222398302416,23900659
1999-03-23,6.877520561218262,7.235786361085144,6.624972657044845,7.188799872573277,36472550
1999-03-24,6.830534934997559,6.859899998006098,6.44877633995056,6.748309436830292,34214400
1999-03-25,7.4883341789245605,7.682148544359073,7.329757550144894,7.5059530472519835,58692902
1999-03-26,7.259278297424316,7.611670125285365,7.188799420814668,7.329757174033965,27183341
1999-03-29,6.943594455718994,7.229913443424798,6.859900990398894,6.965619320822975,51834816
1999-03-30,6.4429030418396,6.859899784703609,6.354804874501585,6.836407820200146,67415674
1999-03-31,6.4517130851745605,6.812915222126722,6.225594760794866,6.231467858942045,52091424
1999-04-01,6.513381004333496,6.765928866447116,6.254960045066289,6.765928866447116,41021165
1999-04-05,6.989110946655273,7.370135364463383,6.3665514884745305,6.554494030697328,80255578
1999-04-06,7.141814231872559,7.400235218626333,6.883393245118784,7.036096768405554,46208448
1999-04-07,7.0478434562683105,7.4002357355478665,6.871647529560814,7.376742491064667,32471366
1999-04-08,8.069780349731445,8.084463307218877,6.918632309244303,7.10657527233123,95665363
1999-04-09,8.615985870361328,8.974251126856359,7.799610592557554,7.846596213929505,119370240
1999-04-12,8.298837661743164,9.162198224009648,8.046289689809134,8.457414334898454,110113344
1999-04-13,8.122639656066895,8.731983680517352,8.122639656066895,8.204863878806542,116002022
1999-04-14,7.6527838706970215,8.463285072582334,7.564685265915568,8.457412400083005,68124672
1999-04-15,8.404550552368164,8.551380945612635,7.1653054743695,7.61166847299733,97298150
1999-04-16,8.26947021484375,8.472095737296812,7.987556370410863,8.245977820338938,43615757
